catalognumber,Morph,subject_Filename,institutioncode,eventdate,year,month,day,stateprovince,county,locality,decimallatitude,decimallongitude,Site,Clade,genus,specificepithet,Filename,SVL_mm,season,MAT,MAP
379974,S,USNM_9_30_19_morph_R0010131_05.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010132,32.698,fall,11,1293
379975,U,USNM_9_30_19_morph_R0010131_04.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010132,31.916,fall,11,1293
379976,S,USNM_9_30_19_morph_R0010131_07.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010132,36.309,fall,11,1293
379977,S,USNM_9_30_19_morph_R0010131_01.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010132,43.697,fall,11,1293
379978,S,USNM_9_30_19_morph_R0010131_03.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010132,40.885,fall,11,1293
379979,S,USNM_9_30_19_morph_R0010135_01.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010136,40.729,fall,11,1293
379980,S,USNM_9_30_19_morph_R0010129_07.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010130,29.22,fall,11,1293
379981,S,USNM_9_30_19_morph_R0010129_02.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010130,28.876,fall,11,1293
379982,S,USNM_9_30_19_morph_R0010135_06.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010136,36.815,fall,11,1293
379983,S,USNM_9_30_19_morph_R0010129_01_2.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010130,41.222,fall,11,1293
